Intercept is on	拦截开启(on)
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(suite scope\)	$1. Proxy,Repeater,Intruder实时诊断（工具范围）
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(all traffic\)	$1. $2,$3（所有流量）实时被动爬行
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(custom scope\)	$1. $2,$3从（自定义范围）实时被动爬网
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(suite scope\)	$1. $2,$3来自（工具范围）的实时被动爬行
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(all traffic\)	$1. $2（所有流量）实时被动爬行
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(custom scope\)	$1. $2从（自定义范围）实时被动爬网
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(suite scope\)	$1. $2来自（工具范围）的实时被动爬行
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(all traffic\)	$1. Proxy,Repeater,Intruder（所有流量）实时被动爬行
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(custom scope\)	$1. Proxy,Repeater,Intruder从（自定义范围）实时被动爬网
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(suite scope\)	$1. $Proxy,Repeater,Intruder 来自（工具范围）的实时被动爬行
Audit checks - passive	审计检查 - 被动
Issues:	问题(Issues):
Capturing:	捕获中(Capturing)
0 requests(0 errors)	0个请求(0个错误)
View details	查看详细信息(View details)
Dashboard	仪表盘(Dashboard)
Add links. Add item itself, same domain and URLs in suite scope.	添加链接，添加项目本身，相同的域和在工具作用域中的网址。
([0-9]+) requests \(([0-9]+) errors\)	$1个请求($2个错误)
Proxy service started on([*])	代理服务开始在$1
Site map	网站地图(Site map)
Scope	范围(Scope)
Issue definitions	漏洞问题定义(Issue definitions)
Filter by MIME type	按MIME类型过滤
Filter by annotation	按注释过滤
Filter by extension	按扩展名过滤
Filter by file extension	按扩展名过滤
Filter by listener	按监听器过滤
Filter by request type	按请求类型过滤
Filter by search term	按搜索字词过滤
Filter by search term [Pro only]	按搜索词过滤[仅限专业版]
Filter by status code	按状态代码过滤
Folders	文件夹选项
Hide empty folders	隐藏空文件夹
Filter:	过滤器：
Filter: 	已过滤隐藏的有：
Show only in-scope items	仅显示范围内的项目
Show only requested items	仅显示项目的请求
Show only parameterized requests	仅显示带参数的请求
Hide not-found items	隐藏不存在的项目
Other binary	其他二进制
Other text	其他文字
Images	图片
2xx  [success]	2xx  [成功]
3xx  [redirection]	3xx  [重定向]
4xx  [request error]	4xx  [请求错误]
5xx  [server error]	5xx  [服务器错误]
Regex	正则表达式
Case sensitive	区分大写和小写字母
Negative search	搜索不匹配的项目
Show only:	显示:
Hide:	不显示:
Show all	全部显示
Hide all	全部隐藏
Revert changes	撤消更改
Show only commented items	仅显示已注释的项目
Show only highlighted items	仅显示彩色的项目
Show only in-scope items	仅显示在范围内显示项目
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?(HTML|script|XML|CSS|flash) content(.*)	$1$2$3$4$5$6内容$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?flash and general binary content(.*)	$1$2$3$4$5flash和一般二进制内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general binary content(.*)	$1$2$3$4$5一般二进制内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text and flash content(.*)	$1$2$3$4$5一般文本和flash内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text and image content(.*)	$1$2$3$4$5一般文本和图像内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text content(.*)	$1$2$3$4$5一般文本内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text(, flash)? and general binary content(.*)	$1$2$3$4$5隐藏一般文本$6, 一般二进制文件$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image and flash content(.*)	$1$2$3$4$5隐藏所有文字，图片，flash$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image(, flash)? and general binary content(.*)	$1$2$3$4$5隐藏一般文本，图像$6, 一般二进制文件$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image and flash content(.*)	$1$2$3$4$5图片，flash$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image content(.*)	$1$2$3$4$5隐藏图片$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image(, flash)? and general binary content(.*)	$1$2$3$4$5隐藏图片$6, 隐藏一般二进制文件$7
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and (script|XML|CSS|flash) content(.*)	$1$2$3$4$5, $6隐藏$7
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general binary content(.*)	$1$2$3$4$5, 隐藏一般二进制文件$6
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general text content(.*)	$1$2$3$4$5, 隐藏一般文本$6
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and image content(.*)	$1$2$3$4$5, 隐藏图片$6
(.*)[Hh]iding ([2-5]xx) responses(.*)	$1$2隐藏响应$3
(.*)[Hh]iding ([2-5]xx, )?([2-5]xx, )?((, )?[2-5]xx) and ([2-5]xx) responses(.*)	$1$2$3$4$5, $6隐藏响应$7
(.*)[Hh]iding empty folders(.*)	$1隐藏空文件夹$2
(.*)[Hh]iding incoming items(.*)	$1隐藏入站项目$2
(.*)[Hh]iding non-parameterized and not found items(.*)	$1没有参数，不存在的项目$2
(.*)[Hh]iding non-parameterized items(.*)	$1隐藏没有参数的参数$2
(.*)[Hh]iding not found items(.*)	$1隐藏不存在的项目$2
(.*)[Hh]iding out of scope and incoming items(.*)	$1隐藏范围外, 已接收的项目$2
(.*)[Hh]iding out of scope and non-parameterized items(.*)	$1隐藏在范围外, 没有参数的项目$2
(.*)[Hh]iding out of scope and not found items(.*)	$1隐藏范围外, 不存在的项目$2
(.*)[Hh]iding out of scope and outgoing items(.*)	$1隐藏范围外，已发送的项目$2
(.*)[Hh]iding out of scope and unrequested items(.*)	$1隐藏范围外，无响应的项目$2
(.*)[Hh]iding out of scope and unresponded items(.*)	$1隐藏范围外，未响应响应项目$2
(.*)[Hh]iding out of scope items(.*)	$1隐藏范围外的项目$2
(.*)[Hh]iding out of scope, non-parameterized and not found items(.*)	$1隐藏范围外，没有参数，不存在的项目$2
(.*)[Hh]iding out of scope, outgoing and incoming items(.*)	$1隐藏范围外，已发送和已接收的项目$2
(.*)[Hh]iding out of scope, unrequested and non-parameterized items(.*)	$1隐藏范围外，无请求，没有参数的项目$2
(.*)[Hh]iding out of scope, unrequested and not found items(.*)	$1隐藏范围外，无请求，不存在的项目$2
(.*)[Hh]iding out of scope, unrequested, non-parameterized and not found items(.*)	$1隐藏范围外，无请求，没有参数，不存在的项目$2
(.*)[Hh]iding out of scope, unresponded and non-parameterized items(.*)	$1隐藏范围外，未响应，没有参数的项目$2
(.*)[Hh]iding outgoing and incoming items(.*)	$1隐藏已发送和已接收的项目$2
(.*)[Hh]iding outgoing items(.*)	$1隐藏已发送的项目$2
(.*)[Hh]iding specific extensions(.*)	$1隐藏指定的扩展名$2
(.*)[Hh]iding unrequested and non-parameterized items(.*)	$1隐藏无请求，没有参数的项目$2
(.*)[Hh]iding unrequested and not found items(.*)	$1隐藏无请求的,不存在的项目$2
(.*)[Hh]iding unrequested items(.*)	$1隐藏无请求的项目$2
(.*)[Hh]iding unrequested, non-parameterized and not found items(.*)	$1隐藏未请求，没有参数的,不存在的项目$2
(.*)[Hh]iding unresponded and non-parameterized items(.*)	$1隐藏没有响应的,没有参数的项目$2
(.*)[Hh]iding unresponded items(.*)	$1隐藏未响应的项目$2
Contents	内容(Contents)
Issues	漏洞问题(Issues)
Method	请求方法(Method)
URL	URL
Params	参数(Params)
Status	状态(Status)
Length: ([,0-9]+)	长度： $1
Length	长度(Length)
MIME type	MIME类型(MIME type)
Title	标题(Title)
Comment	注释(Comment)
Time requested	请求时间(Time requested)
Request	请求(Request)
Response	响应(Respons)
Advisory	提示(Advisory)
Raw	原始(Raw)
Hex	16进制(Hex)
Target Scope	目标范围(Target Scope)
Define the in-scope targets for your current work. This configuration affects the behavior of tools throughout the suite. The easiest way to configure scope is to browse to your target and use the context menus in the site map to include or exclude URL paths.	定义当前工作的范围内目标, 此配置影响所有字段中工具的行为. 用正则表达式或者是简单的字符串, 最简单的配置范围的方法浏览到目标, 并使用站点地图的上下文菜单包含或排除URL路径.
Use advanced scope control	使用高级范围设置
Include in scope	包括以下内容在范围内(Include in scope)
Add	添加
Edit	编辑
Remove	删除
Paste URL	粘贴URL
Load ...	从文件加载
Enabled	启用(Enabled)
Protocol	协议(Protocol)
Host / IP range	主机/ IP范围(Host / IP range)
Host or IP range:	主机或IP范围(Host or IP range)：
Port	端口
Exclude from scope	从范围中排除以下内容
Add prefix	添加prefix(前缀)
Prefix	prefix(前缀)
OK	好的(OK)
Specify a prefix for URLs you want to match.	请指定您要匹配的网址的prefix(前缀)
Prefix:	前缀(Prefix)：
Issue Definitions	漏洞问题定义(Issue Definitions)
This listing contains the definitions of all issues that can be detected by Burp Scanner.	Burp Scanner可以检测到的所有问题的定义列表。
Typical severity	漏洞等级(Typical severity)
Type index	漏洞索引(Type index)
OS command injection	系统命令注入(OS command injection)
OS command injection(\s+\[[0-9]+\])?	OS命令注入$1
Description	详细(Description)
Description:	详细(Description):
Params	参数(Params)
Headers	请求头(Headers)
Toggle message interception	控制拦截HTTP信息(按下将开启/关闭)
Request to ([a-z].*)	$1 请求来自
No proxy listeners are currently running - go to the Options tab to enable a listener	代理监听器未运行 - 请在代理的选项页面中上激活监听器。
Intercept	拦截(Intercept)
HTTP history	HTTP历史记录(HTTP history)
WebSockets history	WebSocket历史记录(WebSockets history)
Options	选项(Options)
Comment this item	注释这个项目(Comment this item)
Comment:	编辑注释(Comment)：
Comments	注释(Comments)
Comments:	编辑注释(Comments)：
Highlight	高亮
Edited	编辑
Extension	文件类型(Extension)
Listener port	监听端口(Listener port)
Direction	方向(Direction)
Proxy Listeners	代理监听器(Proxy Listeners)
Burp Proxy uses listeners to receive incoming HTTP requests from your browser. You will need to configure your browser to use one of the listeners as its proxy server.	Burp Proxy使用监听器接收来自浏览器的HTTP请求。您需要在浏览器中将BURP的其中一个监听配置为代理服务器。
Interface	接口(Interface)
Invisible	透明代理(Invisible)
Invisible proxy support allows non-proxy-aware clients to connect directly to the listener.	通过支持透明代理，代理不兼容的客户端可以直接连接到监听器。
Invoke Burp extension	调用Burp扩展(Invoke Burp extension)
Invoke a Burp extension	调用Burp扩展(Invoke a Burp extension)
Redirect	重定向(Redirect)
Each installation of Burp generates its own CA certificate that Proxy listeners can use when negotiating SSL connections. You can import or export this certificate for use in other tools or another installation of Burp.	每次安装Burp时，它都会生成自己的CA证书，并在代理监听器建立SSL连接时使用。此证书可以导入和导出，并可以与其他工具(比如浏览器)或其他计算机上安装的Burp一起使用。
Each installation of Burp generates its own CA certificate that Proxy listeners can use when negotiating TLS connections. You can import or export this certificate for use in other tools or another installation of Burp.	每次安装Burp时，它都会生成自己的CA证书，并在代理监听器建立TLS连接时使用。此证书可以导入和导出，并可以与其他工具(比如浏览器)或其他计算机上安装的Burp一起使用。
Import / export CA certificate	导入/导出CA证书
Regenerate CA certificate	再次生成CA证书
You can export your certificate and key for use in other tools, or in another installation of Burp. You can import a certificate and key to use in this installation of Burp. Note that you can also export the current certificate by visiting http://burp/cert in your browser.	您可以为其他工具和其他Burp实例导出此证书。您可以导入用于此Burp的证书和私钥。请注意，您还可以通过在浏览器中访问http://burp/cert来导出当前证书。
Export	导出(Export)
Certificate in DER format	DER格式的证书
Private key in DER format	DER格式的密钥
Certificate and private key from PKCS#12 keystore	来自PKCS＃12密钥库的证书和密钥
Certificate and private key in PKCS#12 keystore	PKCS＃12密钥库证书和密钥
Import	导入(Import)
Certificate and private key in DER format	DER格式的证书和密钥
Choose a file to export the CA certificate.	请选择要导出CA证书的文件。
Select file ...	选择文件(Select file)......
The certificate was successfully exported.	成功导出了证书。
Close	关闭
Are you sure you want to exit the wizard?	您确定要退出向导吗？
Choose a file to export the private key. 	请选择要导出私钥的文件。
Note: you should not disclose the private key for your CA certificate to any untrusted party.	注意：您不应向不受信任方披露CA证书私钥。
This file already exists. Are you sure?	文件已存在。你确定替换吗？
The private key was successfully exported.	成功导出了私钥。
Choose a file to export the certificate and private key, and a password to use for the keystore. 	选择要导出证书和密钥的文件，然后输入要设置为密钥库的密码。
Password:	密码：
The certificate and private key were successfully exported.	成功导出了证书和私钥。
Are you sure you want to regenerate Burp's CA certificate?	你想重新生成Burp的CA证书吗？
To take effect, you will need to restart Burp, and then install the new certificate in your browser.	要使其生效的话，您需要重新启动Burp并在浏览器中安装新证书。
Intercept Client Requests	拦截客户端请求
Use these settings to control which responses are stalled for viewing and editing in the Intercept tab.	在拦截选项卡上停止并控制显示和编辑的响应。
Use these settings to control which requests are stalled for viewing and editing in the Intercept tab.	在拦截选项卡上停止并控制显示或编辑的请求。
Intercept requests based on the following rules:	拦截基于以下规则的请求：
Operator	动作(Operator)
Relationship	状态(Relationship)
Condition	匹配条件(Condition)
Up	向上
Down	向下
Automatically fix missing or superfluous new lines at end of request	在请求结束时自动修复丢失或多余的换行符
Automatically update Content-Length header when the response is edited	编辑响应时自动更新Content-Length(长度)标头
Specify the details of the form field completion rule.	请指定以下表单字段完成规则的详细信息。
Specify the details of the interception rule.	请指定拦截规则的详细信息。
Add request interception rule	添加请求拦截规则
Boolean operator:	选择逻辑条件(and、or)(Boolean operator):
Match type	目标(Match type)
Domain name	域名(Domain name)
IP address	IP地址(IP address)
HTTP method	HTTP方法(HTTP method)
File extension	文件扩展名(File extension)
Match relationship:	匹配状态(Match relationship)：
Matches	匹配符合的(Matches)
Does not match	匹配不符合的(Does not match)
Match condition:	匹配条件(支持正则表达式)：
Certificate	证书(Certificate)
Per-host	每个主机(Per-host)
Select the file containing the CA certificate to import.	请选择包含要导入的CA证书的文件。
Select the file containing the private key to import.	请选择包含要导入的密钥的文件。
CA Certificate	CA证书
Param name	参数名称(Param name)
Param value	参数值(Param value)
Cookie name	cookie名称(Cookie name)
Cookie value	Cookie的值(Cookie value)
Showing all items	显示所有项目(Showing all items)
Hide outgoing messages	隐藏已发送的信息
Hide incoming messages	隐藏已接收的信息
Delete old temporary files?	您要删除旧的临时文件吗?
Your temporary directory contains the following folders which appear to have been previously generated by Burp. Would you like to delete these?	您的临时目录包含以下文件，这些文件夹似乎是以前由Burp生成的。要删除这些文件吗
Note: you should not delete these files if another instance of Burp is currently running.	注意：如果当前正在运行其他Burp实例, 则请不要删除这些文件.
Leave	离开
Delete	删除
Match type:	匹配类型(Match type)
Binding	捆绑(Binding)
These settings control how Burp binds the proxy listener.	控制绑定代理监听器的方式。
Bind to port:	绑定端口(Bind to port)：
Bind to address:	绑定地址(Bind to address)：
Loopback only	仅限环回地址(Loopback only)
All interfaces	所有接口(All interfaces)
Specific address:	指定地址(Specific address)：
Scan details	扫描详细信息设置(Scan details)
Scan Type	扫描类型(Scan Type)
Crawl and audit	爬行和诊断(Crawl and audit)
Crawl	爬行(Crawl)
URLs to Scan	要扫描的URL
Define the URLs to scan. Burp will begin crawling from these URLs, and by default will include everything beneath the specified URLs' folders.	请定义要扫描的URL。 Burp将开始从这些URL进行蜘蛛爬行，默认情况下它包含指定URL目录下的所有内容。
Ignore protocols in URLs to scan	忽略要扫描的URL中的协议(或者规约?礼仪?)
Detailed scope configuration	详细的范围设置
You can configure a more detailed scope configuration using either URL prefixes or advanced matching rules. Note that the URLs to scan must fall within the defined scope, and will still be used as the starting point for the crawl.	您可以使用URL前缀或高级匹配规则配置更详细的作用域配置. 注意, 要扫描的url必须在定义的范围内, 并且仍将用作爬网的起点.
Included URL prefixes	要包含的URL前缀(prefixes)
Excluded URL prefixes	要排除的URL前缀
Select from library	从库中选择
Save to library	保存到库
Save configuration to library	将配置保存到库
Configuration name:	配置名称:
Save	保存
Built-in	内部配置(Built-in)
Custom	自定义(Custom)
Search...	搜索(Search)...
Function	功能(Function)
Last used	最后使用(Last used)
Built-in	内部配置(Built-in)
At least one URL to scan must be specified.	请指定至少一个要扫描的URL.
At least one item to scan must be specified.	请指定至少一个要扫描的项目.
At least one kind of analysis must be selected	必须至少选择一种类型的分析. 
Some of the specified URLs to scan are out of scope.	要扫描的某些指定URL超出范围.
Default configuration	默认设置
Unauthenticated crawl. Estimating time remaining...	抓取未经身份验证的状态。估计剩余时间......
([0-9]+) locations crawled	$1个已爬行的地方
([0-9]+)\. Crawl and audit of (.*)	$1. $2个爬行和诊断
Details	详细(Details)
Task details	任务细节(Task details)
Scan type:	扫描类型(Scan type)：
Scope:	范围(Scope)：
Configuration:	设置:
Default configuration	默认设置
Requests:	请求(Requests)：
Errors:	错误(Errors):
Unauthenticated crawl. Estimating time remaining...	未经过验证的蜘蛛爬虫爬取网站信息。估计剩余时间......
Unique locations:	存在的地方(Unique locations)
Hide	隐藏(Hide)
Audit items	审核项目(Audit items)
Passive phases	被动阶段(Passive phases)
Active phases	活跃期(Active phases)
JavaScript phases	JavaScript阶段(JavaScript phases)
Requests	请求(Requests)
Errors	错误(Errors)
Insertion point	插入点(Insertion point)
Start time	开始时间(Start time)
Start time:	开始时间(Start time):
End time	结束时间(End time)
Scan Configuration	扫描设置
Select configurations to control how the scan is carried out. You can select multiple configurations, and these will be applied in turn to determine the final configuration that is used for the scan. If no configurations are selected, then Burp Scanner's default settings will be used.	请选择控制扫描执行方法的设置。可以选择多个设置，按顺序应用这些设置，并确定最终用于扫描的设置。如果未选择任何设置，将使用Burp扫描仪的默认设置。
New ...	新建 ...
Crawling	爬行(Crawling)
Auditing	审计(Auditing)
Application Login	应用程序登录(Application Login)
Application login	应用程序登录
Specify the account credentials that should be submitted to any login functions. The crawler will use these to discover authenticated content behind login functions.	请指定要发送到登录功能的帐户凭据。爬网程序使用这些来在登录身份验证后检测内容。
Label	标签(Label)
Label:	标签(Label：
Username	用户(Username)
Resource Pool	资源池(Resource Pool)
Resource pool	资源池(Resource pool)
Specify the resource pool in which the scan will be run. Resource pools are used to manage the usage of system resources across multiple tasks.	请指定要扫描的资源池。资源池用于管理跨多个任务的系统资源使用情况。
Use existing resource pool	使用现有资源池
Selected	选择(Selected)
Max concurrent requests	最大并发请求数:(Max concurrent requests)
Delay between requests	请求之间的延迟:(Delay between requests)
Delay between requests:	请求之间的延迟：(Delay between requests)
Create new resource pool	创建一个新的资源池
Maximum concurrent requests:	最大并发请求数(Maximum concurrent requests)：
milliseconds	毫秒(milliseconds)
Add random variations	添加随机变化(Add random variations)
Scan configuration	扫描设置(Scan configuration)
Application login	应用登录(Application login)
Task Type	任务类型(Task Type)
Live audit	实时诊断(Live audit)
Live passive crawl	实时被动爬行(Live passive crawl)
Choose predefined task...	选择预定义任务......
Tools Scope	工具范围(Tools Scope)
Select the tools whose traffic will be inspected to select items that are processed by the live scan.	请选择检查流量的工具，然后选择要在实时扫描中处理的项目。
Select the tools whose traffic will be inspected to select items that are processed by the live task.	请选择检查流量的工具，然后选择要在实时任务中处理的项目。
Define which items are processed by the live task, based on their URL.	根据实时任务的URL定义要处理的项目
URL Scope	URL范围
Everything	所有(Everything)
Suite scope	套件范围(Suite scope)
Custom scope	自定义范围(Custom scope)
Deduplication	重复排除(Deduplication)
Select whether items to be processed are deduplicated based on their URL and parameter names. Use this option to avoid scanning the same item more than once.	请根据URL和参数名称选择是否对要处理的项目进行重复数据删除。使用此选项，您不会多次扫描同一项目。
Select whether items to be processed are deduplicated based on their URL and parameter names. Use this option to avoid processing the same item more than once.	请根据URL和参数名称选择是否对要处理的项目进行重复数据删除。使用此选项，您不会多次处理同一项目。
Ignore duplicate items based on URL and parameter names	根据URL和参数名称忽略重复的项目
Passively scan all traffic through Proxy	通过代理被动扫描所有流量
Actively scan all in-scope traffic through Proxy	通过代理主动扫描所有的流量
Add all items requested through Proxy to site map	将通过代理请求的所有项目添加到站点地图(site map)
Add all links observed in traffic through Proxy to site map	将通过代理在流量中观察到的所有链接添加到站点地图(site map)
Audit checks - passive	审计检查 - 被动
Auditing	审计
Expand the areas that you want to define in this configuration.	展开此配置中定义的范围。
Audit Optimization	审计优化
These settings let you control the behavior of the active scanning logic to reflect the objectives of the scan and the nature of the target application. See the detailed help for more information about each option.	根据扫描的目的和目标应用程序的性质，您可以控制主动扫描逻辑的行为。有关每个选项的详细信息，请参阅帮助。
These settings let you control the behavior of the active audit logic to reflect the objectives of the audit and the nature of the target application. See the detailed help for more information about each option.	根据审计的目的和目标应用程序的性质，您可以控制主动审计逻辑的行为。有关每个选项的详细信息，请参阅帮助。
Search	搜索
Configuration library	配置库
User options	用户选项(User options)
Burp Clickbandit	Burp点击劫持
Burp Clickbandit is a tool for generating clickjacking attacks. When you have found a web page that may be vulnerable to clickjacking, you can use Burp Clickbandit to create an attack, and confirm that the vulnerability can be successfully exploited.	Burp Clickbandit是一个生成点击劫持攻击的工具。当您发现网页可能容易受到点击劫持时，可以使用Burp Clickbandit创建攻击，并确认该漏洞可以成功利用。
Burp Clickbandit runs in your browser using JavaScript. It works on all modern browsers except for Microsoft IE and Edge. To run Burp Clickbandit, use the following steps:	Burp Clickbandit使用JavaScript在浏览器中运行。它适用于除微软IE和Edge之外的所有现代浏览器。要运行Burp Clickbandit，请使用以下步骤：
1. Click the "Copy Clickbandit to clipboard" button below. This will copy the Clickbandit script to your clipboard.	1.单击下面的“将Clickbandit复制到剪贴板”按钮。 这会将Clickbandit脚本复制到剪贴板。
2. In your browser, visit the web page that you want to test, in the usual way.	2.在浏览器中，像往常一样访问要测试的网页。
3. In your browser, open the web developer console. This might also be called "developer tools" or "JavaScript console".	3.在浏览器中，打开Web开发人员控制台。 这也称为“开发人员工具”或“JavaScript控制台”。
4. Paste the Clickbandit script into the web developer console, and press enter.	4.将Clickbandit脚本粘贴到Web开发人员控制台中，然后按Enter键。
See the documentation for more details on using Burp Clickbandit.	有关使用Burp Clickbandit的详细信息，请参阅文档。
Note: Exercise caution when running Burp Clickbandit on untrusted websites. Malicious JavaScript from the target site can subvert the HTML output that is generated by Burp Clickbandit.	注意：在不受信任的网站上运行Burp Clickbandit时要小心。目标站点上的无效脚本可能会破坏Burp 
Copy Clickbandit to clipboard	将Clickbandit复制到剪贴板
Burp Collaborator client	Burp Collaborator客户端(类似于DNSlog平台)
Exit	退出
Restore defaults	恢复默认值
Load user options	加载用户选项
Save user options	保存用户选项
